id,is_ai,generator,category,score
ai_art_qwen_2512_art_08.png,true,Qwen 2512,art,0.9482707381248474
ai_art_flux_2_flex_art_03.png,true,Flux,art,0.6830010414123535
ai_art_seedream_v3_art_07.png,true,Seedream,art,0.9594156742095947
ai_art_seedream_v3_art_06.png,true,Seedream,art,0.5441957712173462
ai_art_flux_2_flex_art_02.png,true,Flux,art,0.03481016308069229
ai_art_glm_image_art_01.png,true,GLM Image,art,0.01337453257292509
ai_art_qwen_2512_art_09.png,true,Qwen 2512,art,0.00402819411829114
ai_art_wan_v2.6_art_09.png,true,Wan v2.6,art,3.2258249120786786e-06
ai_art_flux_schnell_art_08.png,true,Flux Schnell,art,0.0058793011121451855
ai_art_glm_image_art_03.png,true,GLM Image,art,0.00020908891747239977
ai_art_seedream_v3_art_10.png,true,Seedream,art,0.0005389402504079044
ai_art_seedream_v3_art_04.png,true,Seedream,art,0.007166394032537937
ai_art_seedream_v3_art_05.png,true,Seedream,art,6.461903012677794e-06
ai_art_flux_2_flex_art_01.png,true,Flux,art,0.4579513967037201
ai_art_glm_image_art_02.png,true,GLM Image,art,0.9984257221221924
ai_art_flux_schnell_art_09.png,true,Flux Schnell,art,1.8721946162258973e-06
ai_art_wan_v2.6_art_08.png,true,Wan v2.6,art,0.014335636049509048
ai_art_z_image_art_09.png,true,Z,art,0.07046618312597275
ai_art_glm_image_art_06.png,true,GLM Image,art,0.9733883142471313
ai_art_flux_2_flex_art_05.png,true,Flux,art,3.418983851588564e-07
ai_art_seedream_v3_art_01.png,true,Seedream,art,0.0007179247331805527
ai_art_flux_2_flex_art_10.png,true,Flux,art,0.9898974895477295
ai_art_flux_2_flex_art_04.png,true,Flux,art,0.0008541001589037478
ai_art_glm_image_art_07.png,true,GLM Image,art,0.004662670195102692
ai_art_z_image_art_08.png,true,Z,art,0.5703359246253967
ai_art_glm_image_art_05.png,true,GLM Image,art,1.9396860295728402e-07
ai_art_flux_2_flex_art_06.png,true,Flux,art,0.003782624611631036
ai_art_seedream_v3_art_02.png,true,Seedream,art,0.9946086406707764
ai_art_seedream_v3_art_03.png,true,Seedream,art,0.0015156838344410062
ai_art_flux_2_flex_art_07.png,true,Flux,art,0.017113856971263885
ai_art_glm_image_art_10.png,true,GLM Image,art,0.05726233124732971
ai_art_glm_image_art_04.png,true,GLM Image,art,0.135933518409729
ai_art_hunyuan_v3_art_07.png,true,Hunyuan v3,art,4.598982923198491e-05
ai_art_ideogram_v3_art_04.png,true,Ideogram v3,art,1.9036415324080735e-05
ai_art_ideogram_v3_art_10.png,true,Ideogram v3,art,0.0002670114045031369
ai_art_sd_3.5_large_art_08.png,true,Sd,art,0.007266608998179436
ai_art_seedream_v4_art_03.png,true,Seedream,art,1.82452131411992e-05
ai_art_leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art,0.04582184553146362
ai_art_leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art,0.808000385761261
ai_art_grok_aurora_art_01.png,true,Grok Aurora,art,0.9330258965492249
ai_art_seedream_v4_art_02.png,true,Seedream,art,6.381989078363404e-05
ai_art_sd_3.5_large_art_09.png,true,Sd,art,1.5005917703092564e-05
ai_art_ideogram_v3_art_05.png,true,Ideogram v3,art,0.001364019582979381
ai_art_hunyuan_v3_art_06.png,true,Hunyuan v3,art,0.7681781053543091
ai_art_hunyuan_v3_art_04.png,true,Hunyuan v3,art,0.613389253616333
ai_art_hunyuan_v3_art_10.png,true,Hunyuan v3,art,0.004611756186932325
ai_art_recraft_v3_art_09.png,true,Recraft v3,art,0.014069043099880219
ai_art_ideogram_v3_art_07.png,true,Ideogram v3,art,6.804681106586941e-06
ai_art_grok_aurora_art_03.png,true,Grok Aurora,art,0.01912357099354267
ai_art_leonardo_phoenix_art_05.png,true,Leonardo Phoenix,art,0.7958158850669861
ai_art_leonardo_phoenix_art_10.png,true,Leonardo Phoenix,art,0.9972013235092163
ai_art_leonardo_phoenix_art_04.png,true,Leonardo Phoenix,art,0.49772799015045166
ai_art_grok_aurora_art_02.png,true,Grok Aurora,art,0.03548547625541687
ai_art_seedream_v4_art_01.png,true,Seedream,art,0.061689071357250214
ai_art_ideogram_v3_art_06.png,true,Ideogram v3,art,0.054402124136686325
ai_art_recraft_v3_art_08.png,true,Recraft v3,art,6.591099008801393e-06
ai_art_hunyuan_v3_art_05.png,true,Hunyuan v3,art,1.4196532447385835e-06
ai_art_hunyuan_v3_art_01.png,true,Hunyuan v3,art,0.0029036202467978
ai_art_ideogram_v3_art_02.png,true,Ideogram v3,art,7.297673619177658e-06
ai_art_flux_pro_v1.1_art_09.png,true,Flux Pro v1.1,art,0.005644541699439287
ai_art_seedream_v4_art_05.png,true,Seedream,art,5.899281063648232e-07
ai_art_grok_aurora_art_06.png,true,Grok Aurora,art,0.7707469463348389
ai_art_grok_aurora_art_07.png,true,Grok Aurora,art,0.0006146207451820374
ai_art_leonardo_phoenix_art_01.png,true,Leonardo Phoenix,art,8.525320299668238e-05
ai_art_seedream_v4_art_04.png,true,Seedream,art,0.0002531556528992951
ai_art_seedream_v4_art_10.png,true,Seedream,art,1.8547785657574423e-05
ai_art_flux_pro_v1.1_art_08.png,true,Flux Pro v1.1,art,0.992104172706604
ai_art_ideogram_v3_art_03.png,true,Ideogram v3,art,0.00022444332716986537
ai_art_hunyuan_v3_art_02.png,true,Hunyuan v3,art,0.00013343666796572506
ai_art_gpt_image_1.5_art_08.png,true,Gpt,art,0.06121547147631645
ai_art_ideogram_v3_art_01.png,true,Ideogram v3,art,0.05297701805830002
ai_art_gemini_3_pro_art_09.png,true,Gemini 3 Pro,art,8.274207175418269e-06
ai_art_seedream_v4_art_06.png,true,Seedream,art,0.14948904514312744
ai_art_leonardo_phoenix_art_03.png,true,Leonardo Phoenix,art,0.991454005241394
ai_art_grok_aurora_art_05.png,true,Grok Aurora,art,3.769568138523027e-05
ai_art_grok_aurora_art_10.png,true,Grok Aurora,art,1.317971691605635e-05
ai_art_grok_aurora_art_04.png,true,Grok Aurora,art,0.0017296159639954567
ai_art_leonardo_phoenix_art_02.png,true,Leonardo Phoenix,art,0.558861255645752
